Number	Length	Length_Real	Stemming	Stemming_Real	Angle	Angle_Real	Azimuth	Azimuth_Real	Subdrilling	Subdrilling_Real	Total_Charge	Total_Charge_Real	Charge_Bulk	Charge_Bulk_Real	Charge_Cartridge	Charge_Cartridge_Real	Charge_Description	eliminated	waterPresence	waterColumn	waterColumn_Real	changed	userName	userLogin	userId	dateUpdate	problemList	redrilled	StemmingProblem	ChargeProblem	Label1	Label2	Burden	Spacing	json	Diameter	Diameter_Real	UTM_X	UTM_X_Real	UTM_Y	UTM_Y_Real	Booster	Booster_Real	PowderFactor	PowderFactor_Real	Comment	FinalLength	TruckNumber	NumberOfDetonators	NumberOfPrimes	Temperature	Density	final_length	truck_number	number_detonators	number_primes	temperature	density
116	12.517	12.517	2.3	2.3	0	0	0	0	0.6	0.6	180.87	180.87	180.87	180.87	0	0	[{"name":"Emuls\u00e3o 1.15","qty":180.87,"mytype":"bulk"}]	1	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 17:26:15		0	0	0			0	0		0.14	0.14	748557.778	748557.778	8930297.917	8930297.917	1	0	0	0		0	0	0	0	0	0						0
117	12.491	11.1	2.3	2.3	0	0	0	0	0.6	0.6	180.41	166.3	180.41	166.3	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":166.3,"weight":1}]	0	1	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:07:30		0	0	0			0	0		0.14	0.14	748557.795	748557.795	8930294.554	8930294.554	1	0	0	0		0	0	0	0	0	0						0
118	12.301	11	2.3	2.3	0	0	0	0	0.6	0.6	177.046	170.3	177.046	170.3	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":170.3,"weight":1}]	0	1	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:11:46		0	0	0			0	0		0.14	0.14	748557.787	748557.787	8930291.213	8930291.213	1	0	0	0		0	0	0	0	0	0						0
119	12.184	10	2.3	2.3	0	0	0	0	0.6	0.6	174.975	174.3	174.975	174.3	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":174.3,"weight":1}]	0	1	0	3	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:16:57		0	0	0			0	0		0.14	0.14	748557.764	748557.764	8930287.827	8930287.827	1	0	0	0		0	0	0	0	0	0						0
120	12.01	11.5	2.3	2.3	0	0	0	0	0.6	0.6	171.895	180.2	171.895	180.2	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":180.2,"weight":1}]	0	1	0	6.5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:21:29		0	0	0			0	0		0.14	0.14	748557.813	748557.813	8930284.429	8930284.429	1	0	0	0		0	0	0	0	0	0						0
121	11.964	10.5	2.3	2.3	0	0	0	0	0.6	0.6	171.081	148.3	171.081	148.3	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":148.3,"weight":1}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:26:07		0	0	0			0	0		0.14	0.14	748557.764	748557.764	8930281.062	8930281.062	1	0	0	0		0	0	0	0	0	0						0
122	12.02	11.6	2.3	2.3	0	0	0	0	0.6	0.6	172.072	172.072	172.072	172.072	0	0	[{"name":"Emuls\u00e3o 1.15","qty":172.072,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:28:50		0	0	0			0	0		0.14	0.14	748557.799	748557.799	8930277.7	8930277.7	1	0	0	0		0	0	0	0	0	0						0
123	12.106	11.4	2.3	2.3	0	0	0	0	0.6	0.6	173.594	173.594	173.594	173.594	0	0	[{"name":"Emuls\u00e3o 1.15","qty":173.594,"mytype":"bulk"}]	0	1	0	4.5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:29:06		0	0	0			0	0		0.14	0.14	748557.769	748557.769	8930274.326	8930274.326	1	0	0	0		0	0	0	0	0	0						0
124	12.05	0	2.3	0	0	0	0	0	0.6	0	172.603	0	172.603	0	0	0		0	0	0	0	0			0		[]	0	0	0			0	0		0.14	0	748557.779	0	8930270.997	0	1	0	0	0		0	0	0	0	0	0						0
125	12.024	10.6	2.3	2.3	0	0	0	0	0.6	0.6	172.143	172.143	172.143	172.143	0	0	[{"name":"Emuls\u00e3o 1.15","qty":172.143,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:29:58		0	0	0			0	0		0.14	0.14	748557.797	748557.797	8930267.592	8930267.592	1	0	0	0		0	0	0	0	0	0						0
126	11.931	11.3	2.3	2.3	0	0	0	0	0.6	0.6	170.496	170.496	170.496	170.496	0	0	[{"name":"Emuls\u00e3o 1.15","qty":170.496,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:30:19		0	0	0			0	0		0.14	0.14	748557.782	748557.782	8930264.232	8930264.232	1	0	0	0		0	0	0	0	0	0						0
127	11.864	11.5	2.3	2.3	0	0	0	0	0.6	0.6	169.31	169.31	169.31	169.31	0	0	[{"name":"Emuls\u00e3o 1.15","qty":169.31,"mytype":"bulk"}]	0	1	0	5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:07:08		0	0	0			0	0		0.14	0.14	748557.748	748557.748	8930260.871	8930260.871	1	0	0	0		0	0	0	0	0	0						0
128	11.866	11.2	2.3	2.3	0	0	0	0	0.6	0.6	169.346	169.346	169.346	169.346	0	0	[{"name":"Emuls\u00e3o 1.15","qty":169.346,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:02:08		0	0	0			0	0		0.14	0.14	748557.8	748557.8	8930257.46	8930257.46	1	0	0	0		0	0	0	0	0	0						0
129	12.216	10.5	2.3	2.3	0	0	0	0	0.6	0.6	175.542	175.542	175.542	175.542	0	0	[{"name":"Emuls\u00e3o 1.15","qty":175.542,"mytype":"bulk"}]	0	1	0	5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:02:39		0	0	0			0	0		0.14	0.14	748557.785	748557.785	8930254.116	8930254.116	1	0	0	0		0	0	0	0	0	0						0
132	11.681	10.5	2.3	2.3	0	0	0	0	0.6	0.6	166.071	166.071	166.071	166.071	0	0	[{"name":"Emuls\u00e3o 1.15","qty":166.071,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:03:07		0	0	0			0	0		0.14	0.14	748555.027	748555.027	8930255.802	8930255.802	1	0	0	0		0	0	0	0	0	0						0
133	11.731	12.1	2.3	2.3	0	0	0	0	0.6	0.6	166.956	166.956	166.956	166.956	0	0	[{"name":"Emuls\u00e3o 1.15","qty":166.956,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:06:25		0	0	0			0	0		0.14	0.14	748555.032	748555.032	8930259.179	8930259.179	1	0	0	0		0	0	0	0	0	0						0
134	11.67	11	2.3	2.3	0	0	0	0	0.6	0.6	165.876	165.876	165.876	165.876	0	0	[{"name":"Emuls\u00e3o 1.15","qty":165.876,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:29:31		0	0	0			0	0		0.14	0.14	748555.019	748555.019	8930262.536	8930262.536	1	0	0	0		0	0	0	0	0	0						0
135	11.871	11	2.3	2.3	0	0	0	0	0.6	0.6	169.434	169.434	169.434	169.434	0	0	[{"name":"Emuls\u00e3o 1.15","qty":169.434,"mytype":"bulk"}]	0	1	0	3	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:28:56		0	0	0			0	0		0.14	0.14	748555.025	748555.025	8930265.921	8930265.921	1	0	0	0		0	0	0	0	0	0						0
136	11.922	11.7	2.3	2.3	0	0	0	0	0.6	0.6	170.337	170.337	170.337	170.337	0	0	[{"name":"Emuls\u00e3o 1.15","qty":170.337,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:28:11		0	0	0			0	0		0.14	0.14	748555.047	748555.047	8930269.292	8930269.292	1	0	0	0		0	0	0	0	0	0						0
137	11.91	11.7	2.3	2.3	0	0	0	0	0.6	0.6	170.125	170.125	170.125	170.125	0	0	[{"name":"Emuls\u00e3o 1.15","qty":170.125,"mytype":"bulk"}]	0	1	0	6	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:27:37		0	0	0			0	0		0.14	0.14	748555.046	748555.046	8930272.662	8930272.662	1	0	0	0		0	0	0	0	0	0						0
138	12.093	11.7	2.3	2.3	0	0	0	0	0.6	0.6	173.364	173.364	173.364	173.364	0	0	[{"name":"Emuls\u00e3o 1.15","qty":173.364,"mytype":"bulk"}]	0	1	0	6	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:27:03		0	0	0			0	0		0.14	0.14	748555.039	748555.039	8930276.024	8930276.024	1	0	0	0		0	0	0	0	0	0						0
139	12.031	0	2.3	0	0	0	0	0	0.6	0	172.267	0	172.267	0	0	0		0	0	0	0	0			0		[]	0	0	0			0	0		0.14	0	748555.023	0	8930279.402	0	1	0	0	0		0	0	0	0	0	0						0
140	12.094	11.5	2.3	2.3	0	0	0	0	0.6	0.6	173.382	193.9	173.382	193.9	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":193.9,"weight":1}]	0	1	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:24:14		0	0	0			0	0		0.14	0.14	748555.063	748555.063	8930282.759	8930282.759	1	0	0	0		0	0	0	0	0	0						0
141	12.16	10.5	2.3	2.3	0	0	0	0	0.6	0.6	174.55	167.7	174.55	167.7	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":167.7,"weight":1}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:19:26		0	0	0			0	0		0.14	0.14	748555.034	748555.034	8930286.14	8930286.14	1	0	0	0		0	0	0	0	0	0						0
142	12.287	11.5	2.3	2.3	0	0	0	0	0.6	0.6	176.799	192.3	176.799	192.3	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":192.3,"weight":1}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 19:14:18		0	0	0			0	0		0.14	0.14	748555.047	748555.047	8930289.488	8930289.488	1	0	0	0		0	0	0	0	0	0						0
172	12.148	11.2	2.3	2.3	0	0	0	0	0.6	0.6	174.338	180.3	174.338	180.3	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":180.3,"weight":1}]	0	1	0	6	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 18:50:00		0	0	0			0	0		0.14	0.14	748552.109	748552.109	8930287.829	8930287.829	1	0	0	0		0	0	0	0	0	0						0
173	12.103	11.1	2.3	2.3	0	0	0	0	0.6	0.6	173.541	187.9	173.541	187.9	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":187.9,"weight":1}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 18:45:29		0	0	0			0	0		0.14	0.14	748552.097	748552.097	8930284.433	8930284.433	1	0	0	0		0	0	0	0	0	0						0
174	12.052	11.2	2.3	2.3	0	0	0	0	0.6	0.6	172.638	188.7	172.638	188.7	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":188.7,"weight":1}]	0	1	0	3	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 18:41:27		0	0	0			0	0		0.14	0.14	748552.114	748552.114	8930281.078	8930281.078	1	0	0	0		0	0	0	0	0	0						0
175	11.811	11.5	2.3	2.3	0	0	0	0	0.6	0.6	168.372	168.372	168.372	168.372	0	0	[{"name":"Emuls\u00e3o 1.15","qty":168.372,"mytype":"bulk"}]	0	1	0	6	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:26:11		0	0	0			0	0		0.14	0.14	748552.098	748552.098	8930277.688	8930277.688	1	0	0	0		0	0	0	0	0	0						0
176	11.427	2.4	2.3	2.3	0	0	0	0	0.6	0.6	161.574	161.574	161.574	161.574	0	0	[{"name":"Emuls\u00e3o 1.15","qty":161.574,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:24:18	[{"id":"26","text":"Colapso da boca do furo","class":"redrill"}]	1	0	0			0	0		0.14	0.14	748552.119	748552.119	8930274.344	8930274.344	1	0	0	0		0	0	0	0	0	0						0
177	11.237	11	2.3	2.3	0	0	0	0	0.6	0.6	158.211	158.211	158.211	158.211	0	0	[{"name":"Emuls\u00e3o 1.15","qty":158.211,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:23:38		0	0	0			0	0		0.14	0.14	748552.09	748552.09	8930270.986	8930270.986	1	0	0	0		0	0	0	0	0	0						0
178	11.51	11.2	2.3	2.3	0	0	0	0	0.6	0.6	163.043	163.043	163.043	163.043	0	0	[{"name":"Emuls\u00e3o 1.15","qty":163.043,"mytype":"bulk"}]	0	1	0	4.5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:23:12		0	0	0			0	0		0.14	0.14	748552.097	748552.097	8930267.614	8930267.614	1	0	0	0		0	0	0	0	0	0						0
179	11.374	10.6	2.3	2.3	0	0	0	0	0.6	0.6	160.636	160.636	160.636	160.636	0	0	[{"name":"Emuls\u00e3o 1.15","qty":160.636,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:22:40		0	0	0			0	0		0.14	0.14	748552.088	748552.088	8930264.199	8930264.199	1	0	0	0		0	0	0	0	0	0						0
180	11.413	11	2.3	2.3	0	0	0	0	0.6	0.6	161.326	161.326	161.326	161.326	0	0	[{"name":"Emuls\u00e3o 1.15","qty":161.326,"mytype":"bulk"}]	0	1	0	5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:22:12		0	0	0			0	0		0.14	0.14	748552.092	748552.092	8930260.848	8930260.848	1	0	0	0		0	0	0	0	0	0						0
181	11.383	10.9	2.3	2.3	0	0	0	0	0.6	0.6	160.795	160.795	160.795	160.795	0	0	[{"name":"Emuls\u00e3o 1.15","qty":160.795,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:06:09		0	0	0			0	0		0.14	0.14	748552.136	748552.136	8930257.493	8930257.493	1	0	0	0		0	0	0	0	0	0						0
185	10.879	10.4	2.3	2.3	0	0	0	0	0.6	0.6	151.873	151.873	151.873	151.873	0	0	[{"name":"Emuls\u00e3o 1.15","qty":151.873,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:05:27		0	0	0			0	0		0.14	0.14	748549.166	748549.166	8930255.826	8930255.826	1	0	0	0		0	0	0	0	0	0						0
186	10.917	10.7	2.3	2.3	0	0	0	0	0.6	0.6	152.546	152.546	152.546	152.546	0	0	[{"name":"Emuls\u00e3o 1.15","qty":152.546,"mytype":"bulk"}]	0	1	0	2	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:20:49		0	0	0			0	0		0.14	0.14	748549.183	748549.183	8930259.163	8930259.163	1	0	0	0		0	0	0	0	0	0						0
187	10.879	10.5	2.3	2.3	0	0	0	0	0.6	0.6	151.873	151.873	151.873	151.873	0	0	[{"name":"Emuls\u00e3o 1.15","qty":151.873,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:21:22		0	0	0			0	0		0.14	0.14	748549.169	748549.169	8930262.543	8930262.543	1	0	0	0		0	0	0	0	0	0						0
188	10.743	9.7	2.3	2.3	0	0	0	0	0.6	0.6	149.465	149.465	149.465	149.465	0	0	[{"name":"Emuls\u00e3o 1.15","qty":149.465,"mytype":"bulk"}]	0	1	0	3	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:21:45		0	0	0			0	0		0.14	0.14	748549.168	748549.168	8930265.907	8930265.907	1	0	0	0		0	0	0	0	0	0						0
189	10.872	9.8	2.3	2.3	0	0	0	0	0.6	0.6	151.749	151.749	151.749	151.749	0	0	[{"name":"Emuls\u00e3o 1.15","qty":151.749,"mytype":"bulk"}]	0	1	0	7	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:22:12		0	0	0			0	0		0.14	0.14	748549.179	748549.179	8930269.304	8930269.304	1	0	0	0		0	0	0	0	0	0						0
190	10.804	9.7	2.3	2.3	0	0	0	0	0.6	0.6	150.545	150.545	150.545	150.545	0	0	[{"name":"Emuls\u00e3o 1.15","qty":150.545,"mytype":"bulk"}]	0	1	0	5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:22:30		0	0	0			0	0		0.14	0.14	748549.173	748549.173	8930272.651	8930272.651	1	0	0	0		0	0	0	0	0	0						0
191	11.318	9.5	2.3	2.3	0	0	0	0	0.6	0.6	159.645	159.645	159.645	159.645	0	0	[{"name":"Emuls\u00e3o 1.15","qty":159.645,"mytype":"bulk"}]	0	1	0	5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:22:54		0	0	0			0	0		0.14	0.14	748549.152	748549.152	8930276.017	8930276.017	1	0	0	0		0	0	0	0	0	0						0
192	11.814	10.7	2.3	2.3	0	0	0	0	0.6	0.6	168.425	162	168.425	162	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":162,"weight":1}]	0	1	0	2.5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 18:39:03		0	0	0			0	0		0.14	0.14	748549.196	748549.196	8930279.4	8930279.4	1	0	0	0		0	0	0	0	0	0						0
193	11.934	10.3	2.3	2.3	0	0	0	0	0.6	0.6	170.549	162.8	170.549	162.8	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":162.8,"weight":1}]	0	1	0	5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 18:43:26		0	0	0			0	0		0.14	0.14	748549.162	748549.162	8930282.768	8930282.768	1	0	0	0		0	0	0	0	0	0						0
194	12.033	8.5	2.3	2.3	0	0	0	0	0.6	0.6	172.302	174.5	172.302	174.5	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":174.5,"weight":1}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 18:47:29		0	0	0			0	0		0.14	0.14	748549.195	748549.195	8930286.149	8930286.149	1	0	0	0		0	0	0	0	0	0						0
229	11.946	10.7	2.3	2.3	0	0	0	0	0.6	0.6	170.762	165.7	170.762	165.7	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":165.7,"weight":1}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 18:27:21		0	0	0			0	0		0.14	0.14	748546.236	748546.236	8930284.436	8930284.436	1	0	0	0		0	0	0	0	0	0						0
230	11.85	11.4	2.3	2.3	0	0	0	0	0.6	0.6	169.062	165.9	169.062	165.9	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":165.9,"weight":1}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 18:34:34		0	0	0			0	0		0.14	0.14	748546.255	748546.255	8930281.053	8930281.053	1	0	0	0		0	0	0	0	0	0						0
231	11.596	10.8	2.3	2.3	0	0	0	0	0.6	0.6	164.566	164.566	164.566	164.566	0	0	[{"name":"Emuls\u00e3o 1.15","qty":164.566,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:19:10		0	0	0			0	0		0.14	0.14	748546.228	748546.228	8930277.711	8930277.711	1	0	0	0		0	0	0	0	0	0						0
232	11.11	10.8	2.3	2.3	0	0	0	0	0.6	0.6	155.962	155.962	155.962	155.962	0	0	[{"name":"Emuls\u00e3o 1.15","qty":155.962,"mytype":"bulk"}]	0	1	0	2	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:19:42		0	0	0			0	0		0.14	0.14	748546.28	748546.28	8930274.34	8930274.34	1	0	0	0		0	0	0	0	0	0						0
233	10.648	10.3	2.3	2.3	0	0	0	0	0.6	0.6	147.784	147.784	147.784	147.784	0	0	[{"name":"Emuls\u00e3o 1.15","qty":147.784,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:20:25		0	0	0			0	0		0.14	0.14	748546.242	748546.242	8930270.956	8930270.956	1	0	0	0		0	0	0	0	0	0						0
234	10.573	10	2.3	2.3	0	0	0	0	0.6	0.6	146.456	146.456	146.456	146.456	0	0	[{"name":"Emuls\u00e3o 1.15","qty":146.456,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:20:36		0	0	0			0	0		0.14	0.14	748546.228	748546.228	8930267.616	8930267.616	1	0	0	0		0	0	0	0	0	0						0
235	10.49	9.8	2.3	2.3	0	0	0	0	0.6	0.6	144.987	144.987	144.987	144.987	0	0	[{"name":"Emuls\u00e3o 1.15","qty":144.987,"mytype":"bulk"}]	0	1	0	3	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:20:49		0	0	0			0	0		0.14	0.14	748546.252	748546.252	8930264.226	8930264.226	1	0	0	0		0	0	0	0	0	0						0
236	10.726	10.5	2.3	2.3	0	0	0	0	0.6	0.6	149.164	149.164	149.164	149.164	0	0	[{"name":"Emuls\u00e3o 1.15","qty":149.164,"mytype":"bulk"}]	0	1	0	1.5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:21:09		0	0	0			0	0		0.14	0.14	748546.225	748546.225	8930260.89	8930260.89	1	0	0	0		0	0	0	0	0	0						0
237	10.554	10.8	2.3	2.3	0	0	0	0	0.6	0.6	146.12	146.12	146.12	146.12	0	0	[{"name":"Emuls\u00e3o 1.15","qty":146.12,"mytype":"bulk"}]	0	1	0	2	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:21:25		0	0	0			0	0		0.14	0.14	748546.253	748546.253	8930257.496	8930257.496	1	0	0	0		0	0	0	0	0	0						0
238	10.854	12	2.3	2.3	0	0	0	0	0.6	0.6	151.43	151.43	151.43	151.43	0	0	[{"name":"Emuls\u00e3o 1.15","qty":151.43,"mytype":"bulk"}]	0	1	0	5	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:04:42		0	0	0			0	0		0.14	0.14	748546.255	748546.255	8930254.143	8930254.143	1	0	0	0		0	0	0	0	0	0						0
241	10.589	10.2	2.3	2.3	0	0	0	0	0.6	0.6	146.739	146.739	146.739	146.739	0	0	[{"name":"Emuls\u00e3o 1.15","qty":146.739,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:20:02		0	0	0			0	0		0.14	0.14	748543.326	748543.326	8930255.823	8930255.823	1	0	0	0		0	0	0	0	0	0						0
242	10.528	10.3	2.3	2.3	0	0	0	0	0.6	0.6	145.659	145.659	145.659	145.659	0	0	[{"name":"Emuls\u00e3o 1.15","qty":145.659,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:19:53		0	0	0			0	0		0.14	0.14	748543.287	748543.287	8930259.208	8930259.208	1	0	0	0		0	0	0	0	0	0						0
243	10.494	10.3	2.3	2.3	0	0	0	0	0.6	0.6	145.057	145.057	145.057	145.057	0	0	[{"name":"Emuls\u00e3o 1.15","qty":145.057,"mytype":"bulk"}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:19:40		0	0	0			0	0		0.14	0.14	748543.308	748543.308	8930262.572	8930262.572	1	0	0	0		0	0	0	0	0	0						0
244	10.53	10.7	2.3	2.3	0	0	0	0	0.6	0.6	145.695	145.695	145.695	145.695	0	0	[{"name":"Emuls\u00e3o 1.15","qty":145.695,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:19:30		0	0	0			0	0		0.14	0.14	748543.306	748543.306	8930265.931	8930265.931	1	0	0	0		0	0	0	0	0	0						0
245	10.778	10.3	2.3	2.3	0	0	0	0	0.6	0.6	150.085	150.085	150.085	150.085	0	0	[{"name":"Emuls\u00e3o 1.15","qty":150.085,"mytype":"bulk"}]	0	1	0	1	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:19:17		0	0	0			0	0		0.14	0.14	748543.349	748543.349	8930269.28	8930269.28	1	0	0	0		0	0	0	0	0	0						0
246	10.813	10.5	2.3	2.3	0	0	0	0	0.6	0.6	150.705	150.705	150.705	150.705	0	0	[{"name":"Emuls\u00e3o 1.15","qty":150.705,"mytype":"bulk"}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	23/05/2026, 13:18:59		0	0	0			0	0		0.14	0.14	748543.346	748543.346	8930272.671	8930272.671	1	0	0	0		0	0	0	0	0	0						0
247	11.618	0	2.3	0	0	0	0	0	0.6	0	164.955	0	164.955	0	0	0		0	0	0	0	0			0		[]	0	0	0			0	0		0.14	0	748543.306	0	8930276.021	0	1	0	0	0		0	0	0	0	0	0						0
248	11.759	10	2.3	2.3	0	0	0	0	0.6	0.6	167.451	159.1	167.451	159.1	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":159.1,"weight":1}]	0	1	0	4	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 18:32:31		0	0	0			0	0		0.14	0.14	748543.287	748543.287	8930279.416	8930279.416	1	0	0	0		0	0	0	0	0	0						0
249	11.911	11.4	2.3	2.3	0	0	0	0	0.6	0.6	170.142	195.2	170.142	195.2	0	0	[{"index":1,"mytype":"bulk","name":"Emuls\u00e3o 1.15","qty":195.2,"weight":1}]	0	0	0	0	1	thiago.ferreira@enaex.com	thiago.ferreira@enaex.com	9005	25/05/2026, 18:30:24		0	0	0			0	0		0.14	0.14	748543.299	748543.299	8930282.757	8930282.757	1	0	0	0		0	0	0	0	0	0						0
